品名,规格,价格,单位,日期,涨跌
硫酸,98%,2075.0,元/吨,2026-04-18,0.00%
硫酸,98%,1887.5,元/吨,2026-04-25,-9.04%
硫酸,98%,1782.5,元/吨,2026-05-02,-14.10%
硫酸,98%,1782.5,元/吨,2026-05-09,-14.10%
硫酸,98%,1857.5,元/吨,2026-05-16,-10.48%
硫酸,98%,1955.0,元/吨,2026-05-23,-5.78%
硫酸,98%,1945.0,元/吨,2026-05-30,-6.27%
硫酸,98%,1832.5,元/吨,2026-06-06,-11.69%
硫酸,98%,2090.0,元/吨,2026-06-13,0.72%
硫酸,98%,2217.5,元/吨,2026-06-17,6.87%
双氧水,98%,623.33,元/吨,2026-06-17,-19.74%
双氧水,98%,656.67,元/吨,2026-06-07,-15.45%
双氧水,98%,676.67,元/吨,2026-05-28,-12.88%
双氧水,98%,826.67,元/吨,2026-05-18,6.44%
双氧水,98%,1056.67,元/吨,2026-05-08,36.05%
双氧水,98%,1240.0,元/吨,2026-04-28,59.66%
双氧水,98%,810.0,元/吨,2026-04-18,4.29%
双氧水,98%,780.0,元/吨,2026-04-08,0.43%
双氧水,98%,790.0,元/吨,2026-03-29,1.72%
双氧水,98%,776.67,元/吨,2026-03-19,0.00%
