日期,最低价,最高价,均价
2026-01-04,11.5,13.0,12.25
2026-01-05,11.5,13.0,12.25
2026-01-06,12.5,14.5,13.5
2026-01-07,13.0,15.0,14.0
2026-01-08,13.0,15.0,14.0
2026-01-09,13.0,15.0,14.0
2026-01-12,13.0,15.0,14.0
2026-01-13,13.5,15.5,14.5
2026-01-14,13.5,15.5,14.5
2026-01-15,13.5,15.5,14.5
2026-01-16,13.5,15.5,14.5
2026-01-19,13.5,16.5,15.0
2026-01-20,13.5,16.5,15.0
2026-01-21,13.5,16.5,15.0
2026-01-22,13.5,16.5,15.0
2026-01-23,13.5,16.5,15.0
2026-01-26,13.5,16.5,15.0
2026-01-27,13.5,16.5,15.0
2026-01-28,13.5,16.5,15.0
2026-01-29,13.5,16.5,15.0
2026-01-30,13.5,16.5,15.0
2026-02-02,13.3,16.0,14.65
2026-02-03,13.3,16.0,14.65
2026-02-04,13.3,16.0,14.65
2026-02-05,13.3,16.0,14.65
2026-02-06,13.3,16.0,14.65
2026-02-09,13.3,16.0,14.65
2026-02-10,13.3,16.0,14.65
2026-02-11,13.3,16.0,14.65
2026-02-12,13.3,16.0,14.65
2026-02-13,13.3,16.0,14.65
2026-02-14,13.3,16.0,14.65
2026-02-24,13.3,16.0,14.65
2026-02-25,13.3,16.0,14.65
2026-02-26,13.3,16.0,14.65
2026-02-27,13.3,16.0,14.65
2026-02-28,13.3,16.0,14.65
2026-03-02,13.3,16.0,14.65
2026-03-03,13.3,16.0,14.65
2026-03-04,13.3,16.0,14.65
2026-03-05,13.3,16.0,14.65
2026-03-06,13.3,16.0,14.65
2026-03-09,13.3,16.0,14.65
2026-03-10,13.3,16.0,14.65
2026-03-11,13.3,16.0,14.65
2026-03-12,13.3,16.0,14.65
2026-03-13,13.3,16.0,14.65
2026-03-16,13.3,16.0,14.65
2026-03-17,13.3,16.0,14.65
2026-03-18,13.3,16.0,14.65
2026-03-19,13.3,16.0,14.65
2026-03-20,13.3,16.0,14.65
2026-03-23,13.3,16.0,14.65
2026-03-24,13.0,15.5,14.25
2026-03-25,13.0,15.5,14.25
2026-03-26,13.0,15.5,14.25
2026-03-27,13.0,15.5,14.25
2026-03-30,13.0,15.5,14.25
2026-03-31,13.0,15.5,14.25
2026-04-01,13.0,15.5,14.25
2026-04-02,13.0,15.5,14.25
2026-04-03,13.0,15.5,14.25
2026-04-07,13.0,15.5,14.25
2026-04-08,13.0,15.5,14.25
2026-04-09,13.0,15.5,14.25
2026-04-10,13.0,15.5,14.25
2026-04-13,13.0,15.5,14.25
2026-04-14,13.0,15.5,14.25
2026-04-15,13.0,15.5,14.25
2026-04-16,13.0,15.5,14.25
2026-04-17,13.0,15.5,14.25
2026-04-20,13.0,15.5,14.25
2026-04-21,13.0,15.5,14.25
2026-04-22,13.0,15.5,14.25
2026-04-23,13.0,15.5,14.25
2026-04-24,13.0,15.5,14.25
2026-04-27,13.0,15.5,14.25
2026-04-28,13.0,15.5,14.25
2026-04-29,13.0,15.5,14.25
2026-04-30,13.0,15.5,14.25
2026-05-06,13.0,15.5,14.25
2026-05-07,13.0,15.5,14.25
2026-05-08,13.0,15.5,14.25
2026-05-09,13.0,15.5,14.25
2026-05-11,13.0,15.5,14.25
2026-05-12,13.0,15.5,14.25
2026-05-13,13.0,15.5,14.25
2026-05-14,13.0,15.5,14.25
2026-05-15,13.0,15.5,14.25
2026-05-18,13.0,15.5,14.25
2026-05-19,13.0,15.5,14.25
2026-05-20,13.0,15.5,14.25
2026-05-21,13.0,15.5,14.25
