日期,最低价,最高价,均价
2026-01-04,7.2,8.0,7.6
2026-01-05,7.2,7.8,7.5
2026-01-06,7.0,7.5,7.25
2026-01-07,7.0,7.5,7.25
2026-01-08,7.0,7.5,7.25
2026-01-09,7.0,7.5,7.25
2026-01-12,7.0,7.5,7.25
2026-01-13,7.0,7.5,7.25
2026-01-14,7.0,7.5,7.25
2026-01-15,6.7,7.4,7.05
2026-01-16,6.7,7.4,7.05
2026-01-19,6.7,7.4,7.05
2026-01-20,6.7,7.4,7.05
2026-01-21,6.7,7.4,7.05
2026-01-22,6.5,7.2,6.85
2026-01-23,6.2,6.9,6.55
2026-01-26,6.0,6.9,6.45
2026-01-27,6.0,6.9,6.45
2026-01-28,6.0,6.9,6.45
2026-01-29,6.0,6.9,6.45
2026-01-30,6.0,6.9,6.45
2026-02-02,6.0,6.6,6.3
2026-02-03,6.0,6.6,6.3
2026-02-04,5.8,6.5,6.15
2026-02-05,5.8,6.5,6.15
2026-02-06,5.8,6.5,6.15
2026-02-09,5.8,6.5,6.15
2026-02-10,5.8,6.5,6.15
2026-02-11,5.8,6.5,6.15
2026-02-12,5.8,6.5,6.15
2026-02-13,5.8,6.5,6.15
2026-02-14,5.8,6.5,6.15
2026-02-24,5.8,6.5,6.15
2026-02-25,5.8,6.5,6.15
2026-02-26,5.8,6.5,6.15
2026-02-27,5.8,6.5,6.15
2026-02-28,5.8,6.5,6.15
2026-03-02,5.8,6.5,6.15
2026-03-03,5.8,6.5,6.15
2026-03-04,5.8,6.5,6.15
2026-03-05,5.0,6.0,5.5
2026-03-06,5.0,5.8,5.4
2026-03-09,5.0,5.8,5.4
2026-03-10,5.0,5.8,5.4
2026-03-11,5.0,5.8,5.4
2026-03-12,5.0,5.8,5.4
2026-03-13,5.0,5.8,5.4
2026-03-16,5.0,5.8,5.4
2026-03-17,5.0,5.8,5.4
2026-03-18,5.0,5.8,5.4
2026-03-19,5.0,5.8,5.4
2026-03-20,5.0,5.8,5.4
2026-03-23,5.0,5.8,5.4
2026-03-24,5.0,5.8,5.4
2026-03-25,5.0,5.8,5.4
2026-03-26,5.0,5.8,5.4
2026-03-27,5.0,5.8,5.4
2026-03-30,5.0,5.8,5.4
2026-03-31,5.0,5.8,5.4
2026-04-01,5.0,5.8,5.4
2026-04-02,5.0,5.8,5.4
2026-04-03,5.0,5.8,5.4
2026-04-07,5.0,5.8,5.4
2026-04-08,5.0,5.8,5.4
2026-04-09,5.0,5.8,5.4
2026-04-10,5.0,5.8,5.4
2026-04-13,5.0,5.8,5.4
2026-04-14,5.0,5.8,5.4
2026-04-15,5.0,5.8,5.4
2026-04-16,5.0,5.8,5.4
2026-04-17,5.0,5.8,5.4
2026-04-20,5.0,5.8,5.4
2026-04-21,5.0,5.8,5.4
2026-04-22,5.0,5.8,5.4
2026-04-23,5.0,5.8,5.4
2026-04-24,5.0,5.8,5.4
2026-04-27,5.0,5.8,5.4
2026-04-28,5.0,5.8,5.4
2026-04-29,5.0,5.8,5.4
2026-04-30,5.0,5.8,5.4
2026-05-06,5.0,5.8,5.4
2026-05-07,5.0,5.8,5.4
2026-05-08,5.0,5.8,5.4
2026-05-09,5.0,5.8,5.4
2026-05-11,5.0,5.8,5.4
2026-05-12,5.0,5.8,5.4
2026-05-13,5.0,5.8,5.4
2026-05-14,5.0,5.8,5.4
2026-05-15,5.0,5.8,5.4
2026-05-18,5.0,5.8,5.4
2026-05-19,5.0,5.8,5.4
2026-05-20,5.0,5.8,5.4
2026-05-21,5.0,5.8,5.4
