日期,最低价,最高价,均价
2026-01-04,16.2,18.0,17.1
2026-01-05,16.0,17.0,16.5
2026-01-06,16.0,17.0,16.5
2026-01-07,16.0,17.0,16.5
2026-01-08,16.0,17.0,16.5
2026-01-09,16.0,17.0,16.5
2026-01-12,16.0,17.0,16.5
2026-01-13,16.0,17.0,16.5
2026-01-14,16.0,16.5,16.25
2026-01-15,16.0,16.5,16.25
2026-01-16,16.0,16.5,16.25
2026-01-19,16.0,16.5,16.25
2026-01-20,16.0,16.5,16.25
2026-01-21,16.0,16.5,16.25
2026-01-22,16.0,16.2,16.1
2026-01-23,15.8,16.2,16.0
2026-01-26,15.5,16.0,15.75
2026-01-27,14.8,15.5,15.15
2026-01-28,14.8,15.5,15.15
2026-01-29,14.8,15.5,15.15
2026-01-30,14.8,15.5,15.15
2026-02-02,14.0,15.0,14.5
2026-02-03,14.0,15.0,14.5
2026-02-04,13.8,14.8,14.3
2026-02-05,13.8,14.8,14.3
2026-02-06,13.8,14.8,14.3
2026-02-09,13.8,14.8,14.3
2026-02-10,13.8,14.8,14.3
2026-02-11,13.8,14.8,14.3
2026-02-12,13.8,14.8,14.3
2026-02-13,13.8,14.8,14.3
2026-02-14,13.8,14.8,14.3
2026-02-24,13.8,14.8,14.3
2026-02-25,13.8,14.8,14.3
2026-02-26,13.8,14.8,14.3
2026-02-27,13.8,14.8,14.3
2026-02-28,13.8,14.8,14.3
2026-03-02,13.8,14.8,14.3
2026-03-03,13.8,14.8,14.3
2026-03-04,13.8,14.8,14.3
2026-03-05,12.5,13.5,13.0
2026-03-06,12.2,13.2,12.7
2026-03-09,12.2,13.2,12.7
2026-03-10,12.2,13.2,12.7
2026-03-11,12.2,13.2,12.7
2026-03-12,12.2,13.2,12.7
2026-03-13,12.2,13.2,12.7
2026-03-16,12.2,13.2,12.7
2026-03-17,12.2,13.2,12.7
2026-03-18,12.2,13.2,12.7
2026-03-19,12.2,13.2,12.7
2026-03-20,12.2,13.2,12.7
2026-03-23,12.2,13.2,12.7
2026-03-24,12.2,13.2,12.7
2026-03-25,12.2,13.2,12.7
2026-03-26,12.2,13.2,12.7
2026-03-27,12.2,13.2,12.7
2026-03-30,12.2,13.2,12.7
2026-03-31,12.2,13.2,12.7
2026-04-01,13.0,14.0,13.5
2026-04-02,13.0,14.0,13.5
2026-04-03,13.0,14.0,13.5
2026-04-07,13.0,14.0,13.5
2026-04-08,13.0,14.0,13.5
2026-04-09,13.0,14.0,13.5
2026-04-10,13.0,14.0,13.5
2026-04-13,13.0,14.0,13.5
2026-04-14,13.0,14.0,13.5
2026-04-15,13.0,14.0,13.5
2026-04-16,13.0,14.0,13.5
2026-04-17,13.0,14.0,13.5
2026-04-20,12.0,13.0,12.5
2026-04-21,12.0,13.0,12.5
2026-04-22,12.0,13.0,12.5
2026-04-23,12.0,13.0,12.5
2026-04-24,12.0,13.0,12.5
2026-04-27,12.0,13.0,12.5
2026-04-28,12.0,13.0,12.5
2026-04-29,12.0,13.0,12.5
2026-04-30,12.0,13.0,12.5
2026-05-06,12.0,13.0,12.5
2026-05-07,12.0,13.0,12.5
2026-05-08,12.5,13.5,13.0
2026-05-09,12.5,13.5,13.0
2026-05-11,12.5,13.5,13.0
2026-05-12,12.5,13.5,13.0
2026-05-13,12.5,13.5,13.0
2026-05-14,12.5,13.5,13.0
2026-05-15,12.5,13.5,13.0
2026-05-18,12.5,13.5,13.0
2026-05-19,12.5,13.5,13.0
2026-05-20,12.5,13.5,13.0
2026-05-21,12.5,13.5,13.0
