日期,最低价,最高价,均价
2026-01-04,2.55,3.0,2.78
2026-01-05,2.85,3.3,3.08
2026-01-06,2.85,3.3,3.08
2026-01-07,2.85,3.3,3.08
2026-01-08,2.85,3.3,3.08
2026-01-09,3.05,3.5,3.28
2026-01-12,3.05,3.5,3.28
2026-01-13,3.05,3.5,3.28
2026-01-14,3.05,3.5,3.28
2026-01-15,3.05,3.5,3.28
2026-01-16,3.05,3.5,3.28
2026-01-19,3.05,3.5,3.28
2026-01-20,3.05,3.5,3.28
2026-01-21,3.05,3.5,3.28
2026-01-22,3.05,3.5,3.28
2026-01-23,3.05,3.5,3.28
2026-01-26,3.05,3.5,3.28
2026-01-27,3.05,3.5,3.28
2026-01-28,3.05,3.5,3.28
2026-01-29,3.05,3.5,3.28
2026-01-30,3.0,3.4,3.2
2026-02-02,2.85,3.3,3.08
2026-02-03,2.85,3.3,3.08
2026-02-04,2.85,3.3,3.08
2026-02-05,2.85,3.3,3.08
2026-02-06,2.85,3.3,3.08
2026-02-09,2.85,3.3,3.08
2026-02-10,2.85,3.3,3.08
2026-02-11,2.85,3.3,3.08
2026-02-12,2.85,3.3,3.08
2026-02-13,2.85,3.3,3.08
2026-02-14,2.85,3.3,3.08
2026-02-24,2.85,3.3,3.08
2026-02-25,2.85,3.3,3.08
2026-02-26,2.85,3.3,3.08
2026-02-27,2.8,3.25,3.03
2026-02-28,2.8,3.25,3.03
2026-03-02,2.8,3.25,3.03
2026-03-03,2.8,3.25,3.03
2026-03-04,2.8,3.25,3.03
2026-03-05,2.7,3.15,2.93
2026-03-06,2.7,3.15,2.93
2026-03-09,2.7,3.15,2.93
2026-03-10,2.7,3.15,2.93
2026-03-11,2.7,3.15,2.93
2026-03-12,2.7,3.15,2.93
2026-03-13,2.7,3.15,2.93
2026-03-16,2.7,3.15,2.93
2026-03-17,2.7,3.15,2.93
2026-03-18,2.7,3.15,2.93
2026-03-19,2.7,3.15,2.93
2026-03-20,2.7,3.15,2.93
2026-03-23,2.7,3.15,2.93
2026-03-24,2.6,3.1,2.85
2026-03-25,2.6,3.1,2.85
2026-03-26,2.6,3.1,2.85
2026-03-27,2.6,3.1,2.85
2026-03-30,2.6,3.1,2.85
2026-03-31,2.6,3.1,2.85
2026-04-01,2.6,3.1,2.85
2026-04-02,2.6,3.1,2.85
2026-04-03,2.6,3.1,2.85
2026-04-07,2.6,3.1,2.85
2026-04-08,2.6,3.1,2.85
2026-04-09,2.6,3.1,2.85
2026-04-10,2.6,3.1,2.85
2026-04-13,2.6,3.1,2.85
2026-04-14,2.6,3.1,2.85
2026-04-15,2.45,3.0,2.73
2026-04-16,2.45,3.0,2.73
2026-04-17,2.45,3.0,2.73
2026-04-20,2.45,3.0,2.73
2026-04-21,2.45,3.0,2.73
2026-04-22,2.45,3.0,2.73
2026-04-23,2.45,3.0,2.73
2026-04-24,2.45,3.0,2.73
2026-04-27,2.45,3.0,2.73
2026-04-28,2.45,3.0,2.73
2026-04-29,2.45,3.0,2.73
2026-04-30,2.45,3.0,2.73
2026-05-06,2.45,3.0,2.73
2026-05-07,2.45,3.0,2.73
2026-05-08,2.45,3.0,2.73
2026-05-09,2.45,3.0,2.73
2026-05-11,2.35,2.9,2.63
2026-05-12,2.35,2.9,2.63
2026-05-13,2.35,2.9,2.63
2026-05-14,2.35,2.9,2.63
2026-05-15,2.35,2.9,2.63
2026-05-18,2.35,2.9,2.63
2026-05-19,2.35,2.9,2.63
2026-05-20,2.35,2.9,2.63
2026-05-21,2.35,2.9,2.63
