日期,最低价,最高价,均价
2024/1/2,6.6,7.0,6.8
2024/1/3,6.6,7.0,6.8
2024/1/4,6.6,7.0,6.8
2024/1/5,6.6,7.0,6.8
2024/1/8,6.5,6.9,6.7
2024/1/9,6.3,6.9,6.6
2024/1/10,6.3,6.9,6.6
2024/1/11,6.3,6.9,6.6
2024/1/12,6.3,6.9,6.6
2024/1/15,6.3,6.9,6.6
2024/1/16,6.3,6.9,6.6
2024/1/17,6.3,6.9,6.6
2024/1/18,6.2,6.8,6.5
2024/1/19,6.2,6.8,6.5
2024/1/22,6.2,6.8,6.5
2024/1/23,6.2,6.8,6.5
2024/1/24,6.2,6.8,6.5
2024/1/25,6.2,6.8,6.5
2024/1/26,6.2,6.8,6.5
2024/1/29,6.2,6.8,6.5
2024/1/30,6.2,6.8,6.5
2024/1/31,6.2,6.8,6.5
2024/2/1,6.2,6.8,6.5
2024/2/2,6.2,6.8,6.5
2024/2/4,6.2,6.8,6.5
2024/2/5,6.2,6.8,6.5
2024/2/6,6.2,6.8,6.5
2024/2/7,6.2,6.8,6.5
2024/2/8,6.2,6.8,6.5
2024/2/9,6.2,6.8,6.5
2024/2/18,6.2,6.8,6.5
2024/2/19,6.2,6.8,6.5
2024/2/20,6.2,6.8,6.5
2024/2/21,6.2,6.8,6.5
2024/2/22,6.2,6.8,6.5
2024/2/23,6.2,6.8,6.5
2024/2/26,6.2,6.8,6.5
2024/2/27,6.0,6.7,6.35
2024/2/28,6.0,6.7,6.35
2024/2/29,6.0,6.7,6.35
2024/3/1,6.0,6.7,6.35
2024/3/4,6.0,6.7,6.35
2024/3/5,6.0,6.7,6.35
2024/3/6,6.0,6.7,6.35
2024/3/7,6.0,6.7,6.35
2024/3/8,5.8,6.5,6.15
2024/3/11,5.8,6.5,6.15
2024/3/12,5.8,6.5,6.15
2024/3/13,5.8,6.5,6.15
2024/3/14,5.8,6.5,6.15
2024/3/15,5.8,6.5,6.15
2024/3/18,5.8,6.5,6.15
2024/3/19,5.8,6.5,6.15
2024/3/20,5.8,6.5,6.15
2024/3/21,5.8,6.5,6.15
2024/3/22,5.8,6.5,6.15
2024/3/25,5.8,6.5,6.15
2024/3/26,5.8,6.5,6.15
2024/3/27,5.8,6.5,6.15
2024/3/28,5.8,6.5,6.15
2024/3/29,5.8,6.5,6.15
2024/4/1,5.8,6.5,6.15
2024/4/2,5.8,6.5,6.15
2024/4/3,5.8,6.5,6.15
2024/4/7,5.8,6.5,6.15
2024/4/8,5.8,6.5,6.15
2024/4/9,5.5,6.2,5.85
2024/4/10,5.5,6.2,5.85
2024/4/11,5.5,6.2,5.85
2024/4/12,5.5,6.2,5.85
2024/4/15,5.5,6.2,5.85
2024/4/16,5.5,6.2,5.85
2024/4/17,5.5,6.2,5.85
2024/4/18,5.5,6.2,5.85
2024/4/19,5.5,6.2,5.85
2024/4/22,5.5,6.2,5.85
2024/4/23,5.5,6.2,5.85
2024/4/24,5.5,6.2,5.85
2024/4/25,5.5,6.2,5.85
2024/4/26,5.5,6.2,5.85
2024/4/28,5.5,6.2,5.85
2024/4/29,5.5,6.2,5.85
2024/4/30,5.5,6.2,5.85
2024/5/6,5.5,6.2,5.85
2024/5/7,6.0,7.0,6.5
2024/5/8,6.0,7.0,6.5
2024/5/9,6.5,7.0,6.75
2024/5/10,6.5,7.0,6.75
2024/5/11,6.5,7.0,6.75
2024/5/13,6.5,7.0,6.75
2024/5/14,6.5,7.0,6.75
2024/5/15,6.5,7.0,6.75
2024/5/16,6.5,7.0,6.75
2024/5/17,6.5,7.0,6.75
2024/5/20,6.5,7.0,6.75
2024/5/21,6.5,7.0,6.75
2024/5/22,6.5,7.0,6.75
2024/5/23,6.5,7.0,6.75
2024/5/24,6.5,7.0,6.75
2024/5/27,6.5,7.0,6.75
2024/5/28,6.5,7.0,6.75
2024/5/29,6.5,7.0,6.75
2024/5/30,6.5,7.0,6.75
2024/5/31,6.5,7.0,6.75
2024/6/3,6.5,7.0,6.75
2024/6/4,6.5,7.0,6.75
2024/6/5,6.5,7.0,6.75
2024/6/6,6.5,7.0,6.75
2024/6/7,6.5,7.0,6.75
2024/6/11,6.5,7.0,6.75
2024/6/12,6.5,7.0,6.75
2024/6/13,6.5,7.0,6.75
2024/6/14,6.5,7.0,6.75
2024/6/17,6.5,7.0,6.75
2024/6/18,6.5,7.0,6.75
2024/6/19,6.5,7.0,6.75
2024/6/20,6.5,7.0,6.75
2024/6/21,6.5,7.0,6.75
2024/6/24,6.5,7.0,6.75
2024/6/25,6.5,7.0,6.75
2024/6/26,6.5,7.0,6.75
2024/6/27,6.5,7.0,6.75
2024/6/28,6.5,7.0,6.75
2024/7/1,6.5,7.0,6.75
2024/7/2,6.5,7.0,6.75
2024/7/3,6.5,7.0,6.75
2024/7/4,6.5,7.0,6.75
2024/7/5,6.5,7.0,6.75
2024/7/8,6.5,7.0,6.75
2024/7/9,6.5,7.0,6.75
2024/7/10,6.5,7.0,6.75
2024/7/11,6.5,7.0,6.75
2024/7/12,6.5,7.0,6.75
2024/7/15,6.5,7.0,6.75
2024/7/16,6.5,7.0,6.75
2024/7/17,6.5,7.0,6.75
2024/7/18,6.5,7.0,6.75
2024/7/19,6.5,7.0,6.75
2024/7/22,6.5,7.0,6.75
2024/7/23,6.5,7.0,6.75
2024/7/24,6.5,7.0,6.75
2024/7/25,6.5,7.0,6.75
2024/7/26,6.5,7.0,6.75
2024/7/29,6.5,7.0,6.75
2024/7/30,6.5,7.0,6.75
2024/7/31,6.4,7.0,6.7
2024/8/1,6.4,7.0,6.7
2024/8/2,6.4,7.0,6.7
2024/8/5,6.4,7.0,6.7
2024/8/6,6.4,7.0,6.7
2024/8/7,6.4,7.0,6.7
2024/8/8,6.4,7.0,6.7
2024/8/9,6.4,7.0,6.7
2024/8/12,6.4,7.0,6.7
2024/8/13,6.3,6.9,6.6
2024/8/14,6.3,6.9,6.6
2024/8/15,6.3,6.9,6.6
2024/8/16,6.3,6.9,6.6
2024/8/19,6.3,6.9,6.6
2024/8/20,6.3,6.9,6.6
2024/8/21,6.3,6.9,6.6
2024/8/22,6.3,6.9,6.6
2024/8/23,6.3,6.9,6.6
2024/8/26,6.3,6.9,6.6
2024/8/27,6.3,6.9,6.6
2024/8/28,6.3,6.9,6.6
2024/8/29,6.3,6.9,6.6
2024/8/30,6.3,6.9,6.6
2024/9/2,6.3,6.9,6.6
2024/9/3,6.3,6.9,6.6
2024/9/4,6.3,6.9,6.6
2024/9/5,6.3,6.9,6.6
2024/9/6,6.3,6.9,6.6
2024/9/9,6.3,6.9,6.6
2024/9/10,6.3,6.9,6.6
