日期,最低价,最高价,均价
2024/1/2,5.9,6.3,6.1
2024/1/3,5.9,6.3,6.1
2024/1/4,5.9,6.3,6.1
2024/1/5,5.9,6.3,6.1
2024/1/8,5.8,6.2,6.0
2024/1/9,5.8,6.2,6.0
2024/1/10,5.8,6.2,6.0
2024/1/11,5.8,6.2,6.0
2024/1/12,5.8,6.2,6.0
2024/1/15,5.8,6.2,6.0
2024/1/16,5.8,6.2,6.0
2024/1/17,5.8,6.2,6.0
2024/1/18,5.6,6.1,5.85
2024/1/19,5.6,6.1,5.85
2024/1/22,5.6,6.1,5.85
2024/1/23,5.6,6.1,5.85
2024/1/24,5.6,6.1,5.85
2024/1/25,5.6,6.1,5.85
2024/1/26,5.6,6.1,5.85
2024/1/29,5.6,6.1,5.85
2024/1/30,5.6,6.1,5.85
2024/1/31,5.6,6.1,5.85
2024/2/1,5.6,6.1,5.85
2024/2/2,5.6,6.1,5.85
2024/2/4,5.6,6.1,5.85
2024/2/5,5.6,6.1,5.85
2024/2/6,5.6,6.1,5.85
2024/2/7,5.6,6.1,5.85
2024/2/8,5.6,6.1,5.85
2024/2/9,5.6,6.1,5.85
2024/2/18,5.6,6.1,5.85
2024/2/19,5.6,6.1,5.85
2024/2/20,5.6,6.1,5.85
2024/2/21,5.6,6.1,5.85
2024/2/22,5.6,6.1,5.85
2024/2/23,5.6,6.1,5.85
2024/2/26,5.6,6.1,5.85
2024/2/27,5.6,6.1,5.85
2024/2/28,5.6,6.1,5.85
2024/2/29,5.6,6.1,5.85
2024/3/1,5.6,6.1,5.85
2024/3/4,5.6,6.1,5.85
2024/3/5,5.6,6.1,5.85
2024/3/6,5.6,6.1,5.85
2024/3/7,5.6,6.1,5.85
2024/3/8,5.0,6.0,5.5
2024/3/11,5.0,6.0,5.5
2024/3/12,5.0,6.0,5.5
2024/3/13,5.0,6.0,5.5
2024/3/14,5.0,6.0,5.5
2024/3/15,5.0,6.0,5.5
2024/3/18,5.0,6.0,5.5
2024/3/19,5.0,6.0,5.5
2024/3/20,5.0,6.0,5.5
2024/3/21,5.0,6.0,5.5
2024/3/22,5.0,6.0,5.5
2024/3/25,5.0,6.0,5.5
2024/3/26,5.0,6.0,5.5
2024/3/27,5.0,6.0,5.5
2024/3/28,5.05,6.0,5.53
2024/3/29,5.05,6.0,5.53
2024/4/1,5.05,6.0,5.53
2024/4/2,5.05,6.0,5.53
2024/4/3,5.05,6.0,5.53
2024/4/7,5.05,6.0,5.53
2024/4/8,5.05,6.0,5.53
2024/4/9,5.0,5.8,5.4
2024/4/10,5.0,5.8,5.4
2024/4/11,5.0,5.8,5.4
2024/4/12,5.0,5.8,5.4
2024/4/15,5.0,5.8,5.4
2024/4/16,5.0,5.8,5.4
2024/4/17,5.0,5.8,5.4
2024/4/18,5.0,5.8,5.4
2024/4/19,5.0,5.8,5.4
2024/4/22,5.0,5.8,5.4
2024/4/23,5.0,5.8,5.4
2024/4/24,5.0,5.8,5.4
2024/4/25,5.0,5.8,5.4
2024/4/26,5.0,5.8,5.4
2024/4/28,5.0,5.8,5.4
2024/4/29,5.0,5.8,5.4
2024/4/30,5.0,5.8,5.4
2024/5/6,5.0,5.8,5.4
2024/5/7,5.2,5.8,5.5
2024/5/8,5.2,5.8,5.5
2024/5/9,5.2,5.8,5.5
2024/5/10,5.2,5.8,5.5
2024/5/11,5.2,5.8,5.5
2024/5/13,5.2,5.8,5.5
2024/5/14,5.2,5.8,5.5
2024/5/15,5.2,5.8,5.5
2024/5/16,5.2,5.8,5.5
2024/5/17,5.2,5.8,5.5
2024/5/20,5.2,5.8,5.5
2024/5/21,5.2,5.8,5.5
2024/5/22,5.2,5.8,5.5
2024/5/23,5.2,5.8,5.5
2024/5/24,5.2,5.8,5.5
2024/5/27,5.2,5.8,5.5
2024/5/28,5.2,5.8,5.5
2024/5/29,5.2,5.8,5.5
2024/5/30,5.2,5.8,5.5
2024/5/31,5.2,5.8,5.5
2024/6/3,5.2,5.8,5.5
2024/6/4,5.2,5.8,5.5
2024/6/5,5.1,5.5,5.3
2024/6/6,5.1,5.5,5.3
2024/6/7,5.1,5.5,5.3
2024/6/11,5.1,5.5,5.3
2024/6/12,5.1,5.5,5.3
2024/6/13,5.1,5.5,5.3
2024/6/14,5.1,5.5,5.3
2024/6/17,5.1,5.5,5.3
2024/6/18,5.1,5.5,5.3
2024/6/19,5.1,5.5,5.3
2024/6/20,5.1,5.5,5.3
2024/6/21,5.1,5.5,5.3
2024/6/24,5.1,5.5,5.3
2024/6/25,5.1,5.5,5.3
2024/6/26,5.1,5.5,5.3
2024/6/27,5.1,5.5,5.3
2024/6/28,5.1,5.5,5.3
2024/7/1,5.1,5.5,5.3
2024/7/2,5.1,5.5,5.3
2024/7/3,5.1,5.5,5.3
2024/7/4,5.1,5.5,5.3
2024/7/5,5.1,5.5,5.3
2024/7/8,5.1,5.5,5.3
2024/7/9,5.1,5.5,5.3
2024/7/10,5.1,5.5,5.3
2024/7/11,5.1,5.5,5.3
2024/7/12,5.1,5.5,5.3
2024/7/15,5.1,5.5,5.3
2024/7/16,5.1,5.5,5.3
2024/7/17,5.1,5.5,5.3
2024/7/18,5.1,5.5,5.3
2024/7/19,5.1,5.5,5.3
2024/7/22,5.1,5.5,5.3
2024/7/23,5.1,5.5,5.3
2024/7/24,5.1,5.5,5.3
2024/7/25,5.1,5.5,5.3
2024/7/26,5.1,5.5,5.3
2024/7/29,5.1,5.5,5.3
2024/7/30,5.1,5.5,5.3
2024/7/31,5.05,5.4,5.23
2024/8/1,5.05,5.4,5.23
2024/8/2,5.05,5.4,5.23
2024/8/5,5.05,5.4,5.23
2024/8/6,5.05,5.4,5.23
2024/8/7,5.05,5.4,5.23
2024/8/8,4.9,5.3,5.1
2024/8/9,4.9,5.3,5.1
2024/8/12,4.9,5.3,5.1
2024/8/13,4.7,5.2,4.95
2024/8/14,4.7,5.2,4.95
2024/8/15,4.7,5.2,4.95
2024/8/16,4.7,5.2,4.95
2024/8/19,4.7,5.2,4.95
2024/8/20,4.7,5.2,4.95
2024/8/21,4.7,5.2,4.95
2024/8/22,4.7,5.2,4.95
2024/8/23,4.7,5.2,4.95
2024/8/26,4.7,5.2,4.95
2024/8/27,4.7,5.2,4.95
2024/8/28,4.7,5.2,4.95
2024/8/29,4.7,5.2,4.95
2024/8/30,4.7,5.2,4.95
2024/9/2,4.7,5.2,4.95
2024/9/3,4.7,5.2,4.95
2024/9/4,4.7,5.2,4.95
2024/9/5,4.7,5.2,4.95
2024/9/6,4.7,5.2,4.95
2024/9/9,4.7,5.2,4.95
2024/9/10,4.7,5.2,4.95
2024/9/11,4.7,5.2,4.95
2024/9/12,4.7,5.2,4.95
2024/9/13,4.7,5.2,4.95
2024/9/14,4.7,5.2,4.95
2024/9/18,4.7,5.2,4.95
2024/9/19,4.7,5.2,4.95
2024/9/20,4.7,5.2,4.95
2024/9/23,4.7,5.2,4.95
2024/9/24,4.7,5.2,4.95
2024/9/25,4.7,5.2,4.95
2024/9/26,4.7,5.2,4.95
2024/9/27,4.7,5.2,4.95
2024/9/29,4.7,5.2,4.95
2024/9/30,4.7,5.2,4.95
2024/10/8,4.7,5.2,4.95
2024/10/9,4.7,5.2,4.95
2024/10/10,4.7,5.2,4.95
2024/10/11,4.7,5.2,4.95
2024/10/12,4.7,5.2,4.95
2024/10/14,4.7,5.2,4.95
2024/10/15,4.7,5.2,4.95
2024/10/16,4.7,5.2,4.95
2024/10/17,4.7,5.2,4.95
2024/10/18,4.7,5.2,4.95
2024/10/21,4.7,5.2,4.95
2024/10/22,4.7,5.2,4.95
2024/10/23,4.7,5.2,4.95
2024/10/24,4.7,5.2,4.95
2024/10/25,4.7,5.2,4.95
2024/10/28,4.7,5.2,4.95
2024/10/29,4.7,5.2,4.95
2024/10/30,4.75,5.25,5.0
2024/10/31,4.75,5.25,5.0
2024/11/1,4.75,5.25,5.0
2024/11/4,4.75,5.25,5.0
2024/11/5,4.75,5.25,5.0
2024/11/6,4.75,5.25,5.0
2024/11/7,4.75,5.25,5.0
2024/11/8,4.75,5.25,5.0
2024/11/11,4.75,5.25,5.0
2024/11/12,4.75,5.25,5.0
2024/11/13,4.75,5.25,5.0
2024/11/14,4.75,5.25,5.0
2024/11/15,4.75,5.25,5.0
2024/11/18,4.75,5.25,5.0
2024/11/19,4.75,5.25,5.0
2024/11/20,4.75,5.25,5.0
2024/11/21,4.75,5.25,5.0
2024/11/22,4.75,5.25,5.0
2024/11/25,4.75,5.25,5.0
2024/11/26,4.75,5.25,5.0
2024/11/27,4.75,5.25,5.0
2024/11/28,4.75,5.25,5.0
2024/11/29,4.75,5.25,5.0
2024/12/2,4.75,5.25,5.0
2024/12/3,4.75,5.25,5.0
2024/12/4,4.75,5.25,5.0
2024/12/5,4.75,5.25,5.0
2024/12/6,4.75,5.25,5.0
2024/12/9,4.75,5.25,5.0
2024/12/10,4.75,5.25,5.0
2024/12/11,4.75,5.25,5.0
2024/12/12,4.75,5.25,5.0
2024/12/13,4.75,5.25,5.0
2024/12/16,4.75,5.25,5.0
2024/12/17,4.75,5.25,5.0
2024/12/18,4.75,5.25,5.0
2024/12/19,4.75,5.25,5.0
2024/12/20,4.75,5.25,5.0
