类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45800 ~ 47400,46600.0,-200.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,17000 ~ 18100,17550.0,-100.0,元/吨,2026-06-24
废旧锂电池,小三元铝壳,未破碎,29000 ~ 30500,29750.0,-100.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,19200 ~ 20000,19600.0,-100.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（5系）电池包,未破碎,46900 ~ 48000,47450.0,-150.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（6系）电池包,未破碎,47500 ~ 48500,48000.0,-150.0,元/吨,2026-06-24
废旧锂电池,三元铝壳（8系）电池包,未破碎,45000 ~ 46600,45800.0,0.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,24600 ~ 28650,26625.0,-150.0,元/吨,2026-06-24
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,20700 ~ 23750,22225.0,-225.0,元/吨,2026-06-24
废旧锂电池,SMM磷酸铁锂极片粉指数,锂 3.2%-4.2%,7048 ~ 7048,7048.0,-17.0,元/锂点,2026-06-24
废旧锂电池,磷酸铁锂极片粉锂系数,3.2%<Li<4.2%,81 ~ 83,82.0,0.5,%,2026-06-24
废旧锂电池,磷酸铁锂极片粉锂点,3.2%<Li<4.2%,6850 ~ 7100,6975.0,-75.0,元/锂点,2026-06-24
废旧锂电池,三元523极片粉,523,99200 ~ 101800,100500.0,-1075.0,元/吨,2026-06-24
废旧锂电池,磷酸铁锂极片粉,3.2%<Li<4.2%,21950 ~ 29850,25900.0,-275.0,元/吨,2026-06-24
