类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元铝壳（523型）,未破碎,45300 ~ 46800,46050.0,300.0,元/吨,2026-07-01
废旧锂电池,三元圆柱钢壳电池,未破碎,31400 ~ 34500,32950.0,300.0,元/吨,2026-07-01
废旧锂电池,三元软包电池,未破碎,45700 ~ 47500,46600.0,300.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂铝壳电池,废旧磷酸铁锂铝壳电池,16700 ~ 18000,17350.0,200.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂钢壳电池,废旧磷酸铁锂钢壳电池,9800 ~ 11100,10450.0,200.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂软包电池,废旧磷酸铁锂软包电池,15400 ~ 17000,16200.0,200.0,元/吨,2026-07-01
废旧锂电池,钴酸锂铝壳,未破碎,84000 ~ 90500,87250.0,0.0,元/吨,2026-07-01
废旧锂电池,钴酸锂聚合物软包,未破碎,96200 ~ 98500,97350.0,0.0,元/吨,2026-07-01
废旧锂电池,小三元圆柱钢壳,未破碎,18000 ~ 19000,18500.0,0.0,元/吨,2026-07-01
废旧锂电池,小三元铝壳,未破碎,28600 ~ 29800,29200.0,0.0,元/吨,2026-07-01
废旧锂电池,小三元软包,未破碎,29400 ~ 30200,29800.0,0.0,元/吨,2026-07-01
废旧锂电池,锰酸锂圆柱钢壳,未破碎,5000 ~ 7400,6200.0,0.0,元/吨,2026-07-01
废旧锂电池,锰酸锂铝壳,未破碎,10000 ~ 10800,10400.0,0.0,元/吨,2026-07-01
废旧锂电池,锰酸锂聚合物软包,未破碎,8900 ~ 10000,9450.0,0.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂铝壳电池包,未破碎,18900 ~ 20000,19450.0,150.0,元/吨,2026-07-01
废旧锂电池,纯钴钴酸锂铝壳,未破碎,90000 ~ 93200,91600.0,0.0,元/吨,2026-07-01
废旧锂电池,高钴钴酸锂铝壳,未破碎,75400 ~ 78000,76700.0,0.0,元/吨,2026-07-01
废旧锂电池,苹果条,未破碎,103000 ~ 114000,108500.0,0.0,元/吨,2026-07-01
废旧锂电池,三元铝壳（5系）电池包,未破碎,46000 ~ 48100,47050.0,300.0,元/吨,2026-07-01
废旧锂电池,三元铝壳（6系）电池包,未破碎,46800 ~ 48400,47600.0,300.0,元/吨,2026-07-01
废旧锂电池,三元铝壳（8系）电池包,未破碎,44700 ~ 46000,45350.0,300.0,元/吨,2026-07-01
废旧锂电池,三元未注液铝壳电芯,未破碎,53000 ~ 54600,53800.0,300.0,元/吨,2026-07-01
废旧锂电池,三元未注液圆柱钢壳电芯,未破碎,34700 ~ 37000,35850.0,300.0,元/吨,2026-07-01
废旧锂电池,三元未注液软包电芯,未破碎,54100 ~ 56000,55050.0,300.0,元/吨,2026-07-01
废旧锂电池,铁锂未注液铝壳电芯,未破碎,22100 ~ 24000,23050.0,300.0,元/吨,2026-07-01
废旧锂电池,铁锂未注液圆柱钢壳电芯,未破碎,14500 ~ 16500,15500.0,150.0,元/吨,2026-07-01
废旧锂电池,铁锂未注液软包电芯,未破碎,21900 ~ 23500,22700.0,300.0,元/吨,2026-07-01
废旧锂电池,三元523卷芯,未破碎,61000 ~ 63600,62300.0,300.0,元/吨,2026-07-01
废旧锂电池,三元622卷芯,未破碎,64000 ~ 67300,65650.0,400.0,元/吨,2026-07-01
废旧锂电池,三元811卷芯,未破碎,58700 ~ 61000,59850.0,300.0,元/吨,2026-07-01
废旧锂电池,铁锂卷芯,未破碎,22000 ~ 25200,23600.0,300.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂动力正极片,动力型，3.8%<Li<4.2%,25450 ~ 29400,27425.0,975.0,元/吨,2026-07-01
废旧锂电池,废旧磷酸铁锂储能正极片,储能型，3.2%<Li<3.5%,21250 ~ 24500,22875.0,875.0,元/吨,2026-07-01
